หมวด,สินค้า,รหัส silalang,ราคา silalang (บาท),รหัส หินอ่อน.com,ราคา หินอ่อน.com (บาท),หินอ่อนถูก/แพงกว่า,สถานะ
ศิลาแลง,20x40 ซม.,4,35,26,35,0%,ตรงกัน
ศิลาแลง,40x40 ซม.,8,120,27,120,0%,ตรงกัน
ศิลาแลง,50x50 ซม.,7,350,29,350,0%,ตรงกัน
ศิลาแลง,30x30 ซม.,6,90,28,65,-27.8%,ขัดกัน — เหมืองแพงกว่าหน้าร้าน 38%
หญ้าเทียม,20 มม. (2 ซม.),140,250,33,260,+4.0%,ต่างเล็กน้อย
หญ้าเทียม,30 มม. (3 ซม.),142,350,34,300,-14.3%,ขัดกัน — เหมืองแพงกว่า 17%
หญ้าเทียม,35 มม. (3.5 ซม.),144,350,35,320,-8.6%,ขัดกัน — เหมืองแพงกว่า 9%
หญ้าเทียม,40 มม. (4 ซม.),145,450,36,340,-24.4%,ขัดกัน — เหมืองแพงกว่า 32%
